Unique ID, Generation, Average Fitness, Best Fitness
21,259,7.54814746415675E-6,8.28761516365392E-6
21,260,7.548157847447654E-6,8.28761516365392E-6
21,261,7.548162510822696E-6,8.28761516365392E-6
21,262,7.548168547752501E-6,8.28761516365392E-6
21,263,7.548171818878885E-6,8.28761516365392E-6
21,264,7.5481827742485216E-6,8.28761516365392E-6
21,265,7.548188574370486E-6,8.28761516365392E-6
21,266,7.548193930968449E-6,8.28761516365392E-6
21,267,7.548194303594117E-6,8.28761516365392E-6
21,268,7.548201245887135E-6,8.28761516365392E-6
21,269,7.548206259441891E-6,8.28761516365392E-6
21,270,7.548212991463009E-6,8.28761516365392E-6
21,271,7.548212157711775E-6,8.28761516365392E-6
21,272,7.548220941896063E-6,8.28761516365392E-6
21,273,7.54822934940265E-6,8.28761516365392E-6
21,274,7.548236341733544E-6,8.28761516365392E-6
21,275,7.548242095020975E-6,8.28761516365392E-6
21,276,7.5482570920127775E-6,8.302215857888871E-6
21,277,7.548261988283699E-6,8.302215857888871E-6
21,278,7.548271759048616E-6,8.302215857888871E-6
21,279,7.5482726539289055E-6,8.302215857888871E-6
21,280,7.548281501593396E-6,8.302215857888871E-6
21,281,7.548283117301021E-6,8.302215857888871E-6
21,282,7.548288487812166E-6,8.302215857888871E-6
21,283,7.5482919400392034E-6,8.302215857888871E-6
21,284,7.548301341212736E-6,8.302215857888871E-6
21,285,7.548307908261733E-6,8.302215857888871E-6
21,286,7.548314224180406E-6,8.302215857888871E-6
21,287,7.548320428177973E-6,8.302215857888871E-6
21,288,7.548322681220938E-6,8.302215857888871E-6
21,289,7.548325970643062E-6,8.302215857888871E-6
21,290,7.548330351339478E-6,8.302215857888871E-6
21,291,7.548332265662501E-6,8.302215857888871E-6
21,292,7.548340173340318E-6,8.302215857888871E-6
21,293,7.5483445281169074E-6,8.302215857888871E-6
21,294,7.54835329903227E-6,8.302215857888871E-6
21,295,7.548361132972445E-6,8.302215857888871E-6
21,296,7.548371702228921E-6,8.302215857888871E-6
21,297,7.548378022850592E-6,8.302215857888871E-6
21,298,7.548383797417868E-6,8.302215857888871E-6
21,299,7.54839112053441E-6,8.302215857888871E-6
21,300,7.548398096340084E-6,8.302215857888871E-6
21,301,7.548406156281357E-6,8.302215857888871E-6
21,302,7.548412283382545E-6,8.302215857888871E-6
21,303,7.548413032024041E-6,8.302215857888871E-6
21,304,7.5484223938794225E-6,8.302215857888871E-6
21,305,7.54842843669962E-6,8.302215857888871E-6
21,306,7.548432027051056E-6,8.302215857888871E-6
21,307,7.548441465118746E-6,8.302215857888871E-6
21,308,7.548448722944346E-6,8.302215857888871E-6
21,309,7.548451171212136E-6,8.302215857888871E-6
21,310,7.548457095159883E-6,8.302215857888871E-6
21,311,7.548460008367777E-6,8.302215857888871E-6
21,312,7.548469040192629E-6,8.302215857888871E-6
21,313,7.548475313762935E-6,8.302215857888871E-6
21,314,7.548480018310058E-6,8.302215857888871E-6
21,315,7.548483215738494E-6,8.302215857888871E-6
21,316,7.548490529706772E-6,8.302215857888871E-6
21,317,7.548493978704963E-6,8.302215857888871E-6
21,318,7.5484967956450725E-6,8.302215857888871E-6
21,319,7.548502537366187E-6,8.302215857888871E-6
21,320,7.548503779790298E-6,8.302215857888871E-6
21,321,7.548508629566951E-6,8.302215857888871E-6
21,322,7.548512020719991E-6,8.302215857888871E-6
21,323,7.548519549409E-6,8.302215857888871E-6
21,324,7.548530244763971E-6,8.302215857888871E-6
21,325,7.548531345740472E-6,8.302215857888871E-6
21,326,7.548538165684703E-6,8.302215857888871E-6
21,327,7.5485450913034885E-6,8.302215857888871E-6
21,328,7.54854913447537E-6,8.302215857888871E-6
21,329,7.548557295466889E-6,8.302215857888871E-6
21,330,7.548567645668234E-6,8.302215857888871E-6
21,331,7.548574222714625E-6,8.302215857888871E-6
21,332,7.548581387126913E-6,8.302215857888871E-6
21,333,7.548582709639209E-6,8.302215857888871E-6
21,334,7.548588691839293E-6,8.302215857888871E-6
21,335,7.54859376184675E-6,8.302215857888871E-6
21,336,7.5485998246808165E-6,8.302215857888871E-6
21,337,7.548607005678228E-6,8.302215857888871E-6
21,338,7.548609920435735E-6,8.302215857888871E-6
21,339,7.548614957999826E-6,8.302215857888871E-6
21,340,7.548619279793822E-6,8.302215857888871E-6
21,341,7.548627126273954E-6,8.302215857888871E-6
21,342,7.548631853390721E-6,8.302215857888871E-6
21,343,7.5486388051273625E-6,8.302215857888871E-6
21,344,7.548645902414729E-6,8.302215857888871E-6
21,345,7.548649271389357E-6,8.302215857888871E-6
21,346,7.548654848441232E-6,8.302215857888871E-6
21,347,7.5486591688344074E-6,8.302215857888871E-6
21,348,7.548663518879252E-6,8.302215857888871E-6
21,349,7.5486690003258E-6,8.302215857888871E-6
21,350,7.548674547432673E-6,8.302215857888871E-6
21,351,7.548676707034775E-6,8.302215857888871E-6
21,352,7.548683738562086E-6,8.302215857888871E-6
21,353,7.5486901413422555E-6,8.302215857888871E-6
21,354,7.548700571574354E-6,8.302215857888871E-6
21,355,7.54870646824706E-6,8.302215857888871E-6
21,356,7.54871233965953E-6,8.302215857888871E-6
21,357,7.548718065661623E-6,8.302215857888871E-6
21,358,7.548724766790163E-6,8.302215857888871E-6
21,359,7.54873464484889E-6,8.302215857888871E-6
21,360,7.548740873835775E-6,8.302215857888871E-6
21,361,7.548745791067669E-6,8.302215857888871E-6
21,362,7.5487536582584855E-6,8.302215857888871E-6
21,363,7.548757955287006E-6,8.302215857888871E-6
21,364,7.548760166827233E-6,8.302215857888871E-6
21,365,7.548767566333364E-6,8.302215857888871E-6
21,366,7.54877383477013E-6,8.302215857888871E-6
21,367,7.548779646186605E-6,8.302215857888871E-6
21,368,7.548782970997276E-6,8.302215857888871E-6
21,369,7.5487878794328315E-6,8.302215857888871E-6
21,370,7.548793164857643E-6,8.302215857888871E-6
21,371,7.548795903474652E-6,8.302215857888871E-6
21,372,7.548798099367433E-6,8.302215857888871E-6
21,373,7.5487991979676E-6,8.302215857888871E-6
21,374,7.548809122769311E-6,8.302215857888871E-6
21,375,7.548813410880337E-6,8.302215857888871E-6
21,376,7.5488202807831806E-6,8.302215857888871E-6
21,377,7.548824691010832E-6,8.302215857888871E-6
21,378,7.548831812690794E-6,8.302215857888871E-6
21,379,7.548832421154759E-6,8.302215857888871E-6
21,380,7.548838927386981E-6,8.302215857888871E-6
21,381,7.548837115906885E-6,8.302215857888871E-6
21,382,7.548838762489156E-6,8.302215857888871E-6
21,383,7.54884337411384E-6,8.302215857888871E-6
21,384,7.548847513810524E-6,8.302215857888871E-6
21,385,7.548855959887919E-6,8.302215857888871E-6
21,386,7.548860210547426E-6,8.302215857888871E-6
21,387,7.548865882023164E-6,8.302215857888871E-6
